Station,year,PM2_5_ugm3_mean,O3_ppb_mean,n_hours_PM,n_hours_O3
AGRABAD,2014,78.2,10.5,5981,7135
AGRABAD,2015,69.4,11.1,5898,6778
AGRABAD,2016,46.9,12.0,5082,6173
BARC,2014,103.3,7.0,2436,5128
BARC,2015,81.5,6.7,7486,7999
BARC,2016,55.4,9.7,2335,6332
BARISHAL,2014,82.8,10.9,7191,7421
BARISHAL,2015,83.9,5.8,6255,6968
BARISHAL,2016,57.5,11.4,5238,898
DARUS SALAM,2014,94.0,5.8,7473,7973
DARUS SALAM,2015,87.8,12.3,7690,7220
DARUS SALAM,2016,64.1,4.7,5401,6150
GAZIPUR,2014,94.5,3.0,6698,6694
GAZIPUR,2015,86.2,4.9,6667,7493
GAZIPUR,2016,64.5,12.6,4984,488
KHULNA,2014,99.7,4.0,1631,2268
KHULNA,2015,81.3,10.0,4960,7380
KHULNA,2016,146.0,34.8,757,3717
NARAYANGANJ,2014,109.8,3.0,5764,6500
NARAYANGANJ,2015,103.5,5.8,4589,5059
NARAYANGANJ,2016,64.3,6.4,4534,6215
RAJSHAHI,2014,41.8,8.1,6860,7079
RAJSHAHI,2015,45.0,7.1,7216,7565
RAJSHAHI,2016,59.4,12.2,5740,5872
SYLHET,2014,62.7,10.3,6675,6829
SYLHET,2015,61.1,7.9,5508,5520
SYLHET,2016,31.7,13.3,4813,5326
ALL_STATIONS,2014,81.9,7.3,50709,57027
ALL_STATIONS,2015,77.0,8.0,56269,61982
ALL_STATIONS,2016,57.4,12.0,38884,41171
